Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2020-09-16,312.8279724121094,316.74269857760834,312.55096952637047,315.31161561893896,82096000
2020-09-17,310.07659912109375,311.79392701921023,307.4452264147787,307.97150659133644,91523300
2020-09-18,306.5067138671875,310.99330512694877,304.02240791405023,310.8820717692347,105877900
2020-09-21,303.095458984375,303.2437795741085,298.2380798999571,301.9182014330189,99450800
2020-09-22,306.18231201171875,306.7385071760695,302.066507400489,304.5786503731086,63612100
2020-09-23,299.0816650390625,307.0166334444668,298.5810865385112,306.7385217044883,93112200
2020-09-24,299.8788146972656,302.937845386202,296.448968406663,297.7652958983576,76681300
2020-09-25,304.7269592285156,305.5148717009548,298.1546568746652,299.0259943751535,71069400
2020-09-28,309.7882995605469,310.5020659374077,307.8972472441894,308.8891253586317,64584600
2020-09-29,308.10125732421875,310.3260103041518,307.4060202499104,309.58443540726375,51304000
2020-09-30,310.43719482421875,313.58892978637374,308.5739508757094,308.76860928712824,104081100
2020-10-01,312.4301452636719,314.00599831587897,310.54837218800964,313.0326781450821,88698700
2020-10-02,309.4638671875,312.4024144710618,307.0073689601297,307.4801391377748,89431100
2020-10-05,314.9515686035156,315.13694812133673,311.47538439020013,311.5217221973405,45713100
2020-10-06,310.4742126464844,317.1855845500535,309.96438363528426,315.0905952451243,90128900
2020-10-07,315.8785705566406,316.6850408176242,313.40351479672364,313.4313231405762,56999600
2020-10-08,318.67803955078125,318.7429351145588,316.8982207211978,317.81595262377294,45242500
2020-10-09,321.52386474609375,321.9873559657683,319.706987085962,320.32804947834086,59528600
2020-10-12,326.6964111328125,328.17030980233085,323.5724848688719,324.06378442537806,80388500
2020-10-13,324.5644226074219,326.7335584990035,323.60035278140873,326.55742954167613,73255500
2020-10-14,322.5250549316406,326.2329853972063,321.7927590329618,325.1391526992879,57727900
2020-10-15,322.1264343261719,322.6084550653457,318.07552513157503,318.6131625602973,60357700
2020-10-16,321.9317626953125,325.13911424772533,321.7556337558863,323.4798076396234,89501900
2020-10-19,317.0372009277344,323.82268933850816,316.1380270347862,323.1923482127359,68425600
2020-10-20,318.3072509765625,321.55168968171705,317.6212929886074,318.38139712826285,60051900
2020-10-21,317.7047119140625,320.43004263717467,317.39879185718223,318.26087876428136,63575000
2020-10-22,319.4474182128906,320.0314217004003,315.77657552045014,317.91790278181213,55399300
2020-10-23,320.5320129394531,320.7266713466308,318.0755149322923,320.6710546588657,49143900
2020-10-26,314.608642578125,317.9365067637999,311.1139000222835,317.1485658849641,91473000
2020-10-27,313.52398681640625,315.285247709324,313.3107706813909,314.95154762591665,65994100
2020-10-28,302.8080749511719,313.5517975998681,302.3167754094889,307.85086148317663,127094300
2020-10-29,305.88568115234375,309.05594531130174,301.35272336162404,303.0398382217238,90597700
2020-10-30,302.69683837890625,305.61682725753553,299.04452548918334,304.30977868935224,120287300
2020-11-02,306.0896301269531,308.09188741481535,303.34574158278815,306.0896301269531,86068300
2020-11-03,311.4939270019531,313.55182927466103,306.1730565274314,309.324791356006,93294200
2020-11-04,318.4555969238281,322.5343145343358,314.7940044922087,315.97126216053266,126959700
2020-11-05,324.66632080078125,326.473947874862,323.38708050703286,323.7393383605878,82039700
2020-11-06,324.59222412109375,325.8436562639265,322.26548878904805,324.3790079432216,74973000
2020-11-09,328.6709289550781,337.77390433814645,328.2074376824893,337.3938380999121,172304200
2020-11-10,328.18896484375,329.24571041717456,324.9167170262264,327.6791073823705,85552000
2020-11-11,330.62689208984375,331.4518918826983,329.13443541283425,330.37658868596975,58649000
2020-11-12,327.4194641113281,330.67318157201504,325.6118653025927,329.6164079973696,67546200
2020-11-13,331.9524230957031,332.69399774467473,328.8099389915463,329.3290469036784,62892200
2020-11-16,336.09613037109375,336.2907888205987,333.33371169129214,334.62223124630657,74541100
2020-11-17,334.2884216308594,335.49351584362677,332.17490268135197,333.68588866910596,66111000
2020-11-18,330.2653503417969,335.1042005097741,330.22826311784223,334.55728418581134,70591300
2020-11-19,331.65576171875,332.02654902065063,328.2908110827179,329.6349468775226,59940900
2020-11-20,329.38470458984375,331.6002065139429,329.31055843142065,331.39626921670055,70417300
2020-11-23,331.359130859375,332.61984167212626,328.9582497650771,331.1922808117231,63230600
2020-11-24,336.6986083984375,337.24552471708824,333.05557370732873,333.9083818251607,62415900
2020-11-25,336.1794738769531,336.6429651228615,335.085641326032,336.61515677967736,45330900
2020-11-27,337.11578369140625,337.5885255934708,336.1053477355722,337.27335489567287,28514100
2020-11-30,335.6232604980469,336.60585962287183,332.9442959525929,336.33702679385095,83872700
2020-12-01,339.29412841796875,340.83292278060395,338.28372087591083,338.87700326166663,74231400
2020-12-02,340.0079040527344,340.16547522877676,337.6070228786699,338.18174747696014,45927000
2020-12-03,339.91522216796875,341.30569594652076,338.81211070717654,339.90594329021474,62882000
2020-12-04,342.844482421875,342.844482421875,340.40651392671566,340.499217834335,50749900
2020-12-07,342.1399230957031,342.63122262532636,340.869961761918,342.0750275397087,48944300
2020-12-08,343.14105224609375,343.7064978732305,340.8235964838844,340.8699342834266,42458900
2020-12-09,340.0635681152344,343.95687801184386,339.2292894437654,343.7993068138485,74098300
2020-12-10,339.9523010253906,340.9997674831479,337.8202243105125,338.6915901201066,57735400
2020-12-11,339.5537414550781,339.9616160939201,336.7357345003271,338.2559713720657,57698600
2020-12-14,338.0334167480469,342.79809173388674,337.85728782298236,341.7228170082681,69216200
2020-12-15,342.603515625,342.603515625,339.20150512752514,340.57342135002625,63865300
2020-12-16,343.14105224609375,344.05875567536714,341.9359582761919,342.81660278153345,58420500
2020-12-17,345.0600891113281,345.26402647112826,343.95697725003726,344.7820055703605,64119500
2020-12-18,343.68218994140625,345.5161309651634,341.67136919379556,345.3485696719916,136542300
2020-12-21,342.453369140625,352.3212752668946,337.0260363965949,339.7629846416698,96386700
2020-12-22,341.876220703125,342.8909354359635,340.7497984268332,342.7792278925102,47949000
2020-12-23,342.1835021972656,344.0919060073756,341.8576695343581,342.8444575466896,46201400
2020-12-24,343.51470947265625,343.54263636142235,342.0717728699792,342.65823753406784,26457900
2020-12-28,346.4656066894531,346.856582932881,345.4415739402627,346.06528360805925,39000400
2020-12-29,345.8047180175781,348.1692982115266,345.2182250819667,347.9924184877755,53680500
2020-12-30,346.298095703125,347.3314471151924,345.90711937087656,346.6239282532309,49455300
2020-12-31,348.0575866699219,348.78371400805713,345.59061740637577,346.1026197103733,78520700
2021-01-04,343.319091796875,349.5191144538357,339.6232833911593,349.3887700821715,110210800
2021-01-05,345.6836853027344,346.7728905061342,342.6302231348059,342.67678687742756,66426200
2021-01-06,347.7503356933594,350.9434604581976,343.62630546858566,344.17555304257576,107997700
